line;code;canonical name;category;type;family code;family;sortkey?;autodetect?;exceptional?;script codes;other names;standard characters
2336;gra;Rajput Garasia;Rajput Garasia language;regular;inc-bhi;Bhil;;;;Deva,Gujr;;
2337;grb;Grebo;Grebo language;regular;kro-grb;Grebo;;;;Latn;;
2338;grc;Ancient Greek;Ancient Greek language;regular;grk;Hellenic;sortkey;autodetect;;Polyt,Cprt;;standard characters
2339;grd;Guruntum;Guruntum language;regular;cdc-wst;West Chadic;;;;Latn;;
2340;grg;Madi;Madi language;regular;ngf-fin;Finisterre;;;;Latn;;
2341;grh;Gbiri-Niragu;Gbiri-Niragu language;regular;nic-kau;Kauru;;;;Latn;;
2342;gri;Ghari;Ghari language;regular;poz-sls;Southeast Solomonic;;;;Latn;Gari,Tangarare,Sughu,West Guadalcanal;
2343;grj;Southern Grebo;Southern Grebo language;regular;kro-grb;Grebo;;;;Latn;;
2344;grk-cal;Calabrian Greek;Calabrian Greek language;regular;grk;Hellenic;;;exceptional;Latn;;
2345;grk-ita;Italiot Greek;Italiot Greek language;regular;grk;Hellenic;sortkey;autodetect;exceptional;Latn,Grek;;
2346;grk-mar;Mariupol Greek;Mariupol Greek language;regular;grk;Hellenic;sortkey;autodetect;exceptional;Cyrl,Latn,Grek;;
2347;grk-pro;Proto-Hellenic;Proto-Hellenic language;reconstructed;grk;Hellenic;sortkey;;exceptional;Latn;;
2348;grm;Kota Marudu Talantang;Kota Marudu Talantang language;regular;poz-san;Sabahan;;;;Latn;;
2349;gro;Groma;Groma language;regular;sit-tib;Tibetic;;;;;;
2350;grq;Gorovu;Gorovu language;regular;paa;Papuan;;;;Latn;;
2351;grs;Gresi;Gresi language;regular;paa-nim;Nimboran;;;;Latn;;
2352;grt;Garo;Garo language;regular;tbq-bdg;Bodo-Garo;;;;Latn,Beng,Brai;;
2353;gru;Kistane;Kistane language;regular;sem-eth;Ethiopian Semitic;;;;Latn;Soddo,Aymälläl;
2354;grv;Central Grebo;Central Grebo language;regular;kro-grb;Grebo;;;;Latn;;
2355;grw;Gweda;Gweda language;regular;poz-ocw;Western Oceanic;;;;Latn;;
2356;grx;Guriaso;Guriaso language;regular;paa-kwm;Kwomtari;;;;Latn;;
2357;gry;Barclayville Grebo;Barclayville Grebo language;regular;kro-grb;Grebo;;;;Latn;;
2358;grz;Guramalum;Guramalum language;regular;poz-ocw;Western Oceanic;;;;Latn;;
2359;gse;Ghanaian Sign Language;Ghanaian Sign Language;regular;sgn;sign;;;;Latn;;
